Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-10,3.3139852748687613,3.756943702697754,3.2155500686845406,3.756943702697754,143929200,0.0,0.0
2000-08-11,3.5928849339224316,3.822567075817016,3.5436673320878778,3.7487406730651855,25139200,0.0,0.0
2000-08-14,3.691320655110118,3.7897558725797214,3.674914785531851,3.732335329055786,6935200,0.0,0.0
2000-08-15,3.732334805787001,3.863581744012478,3.683117203952447,3.7487406730651855,9078800,0.0,0.0
2000-08-16,3.781553774246021,3.937409569713861,3.7405390912281677,3.847177267074585,11728000,0.0,0.0
2000-08-17,3.879987173933324,4.0850604917944935,3.8635813085044304,4.0358428955078125,7148000,0.0,0.0
2000-08-18,4.0686552935633165,4.0686552935633165,3.6749144587023506,3.806161403656006,8824800,0.0,0.0
2000-08-21,3.806162306167537,3.8389740501862226,3.724132946120823,3.82256817817688,6075200,0.0,0.0
2000-08-22,3.8389730939439906,3.863581895828247,3.789755490175478,3.863581895828247,5407600,0.0,0.0
2000-08-23,3.8553804530147695,3.9538156986236572,3.8225687044784737,3.9538156986236572,7268400,0.0,0.0
2000-08-24,3.896395407490811,3.921004220590753,3.8635836566908885,3.871786594390869,5224400,0.0,0.0
2000-08-25,3.9128009603043234,3.970221519470215,3.8717862751858294,3.970221519470215,2186800,0.0,0.0
2000-08-28,3.986627447159953,3.986627447159953,3.9128010129532873,3.9538156986236572,2670800,0.0,0.0
2000-08-29,3.9292057881872338,4.085061550140381,3.9210028533475945,4.085061550140381,6166400,0.0,0.0
2000-08-30,4.068656403889028,4.331150365430255,4.068656403889028,4.232715129852295,8611200,0.0,0.0
2000-08-31,4.240916433877701,4.240916433877701,4.134278303045186,4.17529296875,4484400,0.0,0.0
2000-09-01,4.158888544491632,4.158888544491632,4.085062120624917,4.093265056610107,5405600,0.0,0.0
2000-09-05,4.076858046520279,4.1260756486915495,4.044046311739431,4.117872714996338,3062400,0.0,0.0
2000-09-06,4.150685012340546,4.39677305655046,4.150685012340546,4.331149578094482,6776000,0.0,0.0
2000-09-07,4.3967726703886685,4.4705990771675825,4.2983374613501155,4.380366802215576,5206800,0.0,0.0
2000-09-08,4.380366800395587,4.380366800395587,4.240916920982245,4.298337459564209,5362800,0.0,0.0
2000-09-11,4.249120690809182,4.429585276133124,4.208106012326468,4.372164726257324,6394400,0.0,0.0
2000-09-12,4.298338040101876,4.34755565124808,4.224511623382568,4.224511623382568,7189200,0.0,0.0
2000-09-13,4.216308113051812,4.224511047123897,4.044046497538022,4.052249431610107,5692400,0.0,0.0
2000-09-14,4.134278226781775,4.150684092761067,3.9620166339992005,3.9866254329681396,6436000,0.0,0.0
2000-09-15,3.9456127083991186,4.109671448873094,3.9128009603043234,3.970221519470215,4436400,0.0,0.0
2000-09-18,3.912799644470215,4.019437789916992,3.814364433288574,3.855379104614258,3819200,0.0,0.0
2000-09-19,3.8553796258083612,3.9128001734267834,3.82256788431212,3.879988431930542,3072400,0.0,0.0
2000-09-20,3.929206887221435,4.019439195696249,3.9210039500873615,3.9538156986236572,6325200,0.0,0.0
2000-09-21,3.9620183795245727,3.9620183795245727,3.8225684572638734,3.847177267074585,3255600,0.0,0.0
2000-09-22,3.806161403656006,3.83897313989442,3.6749144587023506,3.806161403656006,4007200,0.0,0.0
2000-09-25,3.7979584241368967,3.904596565635341,3.7733496222526406,3.863581895828247,3151600,0.0,0.0
2000-09-26,3.855380721927918,4.003033600640051,3.838974846515459,3.9784247875213623,1533600,0.0,0.0
2000-09-27,4.035842735574852,4.052248600353613,3.945610479291675,3.9620163440704346,4248800,0.0,0.0
2000-09-28,3.9784236003955207,3.986626535654068,3.9045971830685935,3.937408924102783,4384800,0.0,0.0
2000-09-29,3.937408304511881,3.9456112384796143,3.921002436576415,3.9456112384796143,2407600,0.0,0.0
2000-10-02,3.945612761489583,3.986627447159953,3.929206887221435,3.9538156986236572,3382400,0.0,0.0
2000-10-03,3.9866277252275917,3.9948306629338215,3.937410098990214,3.9784247875213623,2693600,0.0,0.0
2000-10-04,3.962018912108903,3.9948306629338215,3.9292071612839847,3.9784247875213623,1054000,0.0,0.0
2000-10-05,3.978423308542866,3.9948291778564453,3.9374086352589193,3.9948291778564453,4484000,0.0,0.0
2000-10-06,3.994828108979874,3.994828108979874,3.8553782571263673,3.9045958518981934,2583600,0.0,0.0
2000-10-09,3.896394247810046,3.937408924102783,3.8389737010002136,3.937408924102783,1610800,0.0,0.0
2000-10-10,3.92100239190899,4.052249333897575,3.912799458034703,4.0030317306518555,4442000,0.0,0.0
2000-10-11,4.019437598400429,4.085061069394722,3.9784229290289956,4.0030317306518555,4415200,0.0,0.0
2000-10-12,4.035843105353635,4.3065398990054025,4.019437239071709,4.17529296875,5707200,0.0,0.0
2000-10-13,4.068655395507813,4.142481803894043,4.019437789916992,4.060452461242676,2770000,0.0,0.0
2000-10-16,4.027641211946805,4.027641211946805,3.912800118327141,3.937408924102783,2358000,0.0,0.0
2000-10-17,3.937408201156124,3.937408201156124,3.7897553936127695,3.814364194869995,2868000,0.0,0.0
2000-10-18,3.7241321563720704,3.855379104614258,3.67491455078125,3.855379104614258,9335600,0.0,0.0
2000-10-19,3.8635811895883383,3.9292046492841064,3.8389723922024253,3.9045958518981934,4136000,0.0,0.0
2000-10-20,3.87998873020958,3.8881916662142513,3.7897564341581944,3.82256817817688,3190000,0.0,0.0
2000-10-23,3.765147365097489,3.7897561714053154,3.666712139866182,3.674915075302124,2953200,0.0,0.0
2000-10-24,3.6421032547950745,3.666712060570717,3.4862474848826728,3.543668031692505,6871200,0.0,0.0
2000-10-25,3.437029789292614,3.5272620749303676,3.412420984118681,3.4534356594085693,4284000,0.0,0.0
2000-10-26,3.420624076787915,3.6913209461740086,3.420624076787915,3.674915075302124,4966400,0.0,0.0
2000-10-27,3.683117626522081,3.756944037744127,3.658508822781399,3.7241322994232178,5050400,0.0,0.0
2000-10-30,3.658508913413338,3.8471764134324116,3.6503059786299,3.7733500003814697,2144800,0.0,0.0
2000-10-31,3.863581797384447,3.8717847311368554,3.7897553936127695,3.814364194869995,2072400,0.0,0.0
2000-11-01,3.7733497619628906,3.8881908416748048,3.7733497619628906,3.855379104614258,2196400,0.0,0.0
2000-11-02,3.8553788636320383,3.921002333651307,3.814364194869995,3.814364194869995,613200,0.0,0.0
2000-11-03,3.7569433619490766,3.8061609605772304,3.691319897111538,3.707725763320923,2234400,0.0,0.0
2000-11-06,3.707726004869724,3.7979582748997394,3.6995230712306317,3.7487406730651855,898800,0.0,0.0
2000-11-07,3.7077260560886836,3.838972996127221,3.6913201885838665,3.814364194869995,1193200,0.0,0.0
2000-11-08,3.863582383645208,3.863582383645208,3.7405383586883545,3.7405383586883545,2472400,0.0,0.0
2000-11-09,3.7159297524818355,3.740538558789662,3.6421033335583552,3.674915075302124,3443200,0.0,0.0
2000-11-10,3.6503061303147324,3.7241325464334576,3.633900260066127,3.6421031951904297,2756000,0.0,0.0
2000-11-13,3.592885395024447,3.6913206113264865,3.592885395024447,3.6667118072509766,3948400,0.0,0.0
