avg_prices_true,volume_true,avg_prices_norm,volume_norm
55.5099412,26159000.0,-0.2224946157695035,5.2526835821110405
54.0313276,25546200.0,-0.22249492524961076,5.1244219391026125
53.732636,36176300.0,-0.2224949877670314,7.349347022888329
50.980928600000006,39911200.0,-0.22249556371107873,8.13107745773196
50.77789,61793400.0,-0.22249560620792014,12.711114867390927
48.128710999999996,53894700.0,-0.22249616069233785,11.057883405852632
49.5372734,55660900.0,-0.22249586587424433,11.42755656819187
48.0696074,43347500.0,-0.22249617306297237,8.850309644203662
48.858724200000005,35724500.0,-0.22249600789747417,7.254783363764296
50.1563758,26243500.0,-0.2224957362934822,5.270369791044154
51.1561652,20913700.0,-0.222495527033314,4.154820011497291
50.62612,23238300.0,-0.2224956379740258,4.64136866576849
51.0424424,20680200.0,-0.22249555083597908,4.105947469652532
48.656453799999994,32657800.0,-0.2224960502335281,6.612910027253288
47.9764564,29395100.0,-0.22249619255987238,5.930013058187367
48.428273000000004,23408300.0,-0.22249609799273878,4.676950387882447
49.021322399999995,24830200.0,-0.22249597386498024,4.974560097728536
49.3383118,18042600.0,-0.22249590751775233,3.553886585842107
48.778041,18597700.0,-0.22249602478481068,3.6700713737565622
48.609578,26600900.0,-0.22249606004483216,5.345175129182555
50.053364599999995,18267000.0,-0.22249575785416392,3.60085445903253
49.80504520000001,16811400.0,-0.22249580982846914,3.296191196037969
50.8324892,29114100.0,-0.22249559478007566,5.871198564575473
50.49186999999999,21110800.0,-0.22249566607312107,4.196073878724708
49.2435548,23310400.0,-0.22249592735079493,4.6564595020297626
47.183538,27238100.0,-0.30750254638133995,3.1596325651200834
48.568175600000004,18331400.0,-0.30750237013064863,2.0258976206402717
48.1557654,17412400.0,-0.307502422626394,1.9089179969887569
46.5942796,23270800.0,-0.30750262138811457,2.6546344574893386
45.7069038,31133200.0,-0.3075027343422899,3.6554403258219503
46.3706002,27622400.0,-0.30750264986029313,3.2085501596459562
46.9651696,26017000.0,-0.30750257417748067,3.004198595108261
48.1185486,36415500.0,-0.3075024273637251,4.327824946077007
48.2775346,19035400.0,-0.30750240712637744,2.115509867703021
46.884346199999996,22184900.0,-0.3075025844655012,2.516410112197521
47.218228999999994,27969100.0,-0.3075025419655183,3.252681645521887
46.3870874,74730700.0,-0.3075026477616354,9.204971492467127
44.261988200000005,49431400.0,-0.3075029182657753,5.98462046673615
44.451181999999996,39581500.0,-0.30750289418327315,4.730825477612041
45.3281212,24237700.0,-0.3075027825575739,2.777711278064583
46.99393,35316000.0,-0.30750257051656577,4.187869455103296
46.5464196,32537000.0,-0.3075026274802199,3.83413020142804
46.9923682,29540100.0,-0.30750257071536746,3.4526544298053796
45.62734,29785700.0,-0.30750274446997583,3.4839168841784067
44.6130698,31113700.0,-0.30750287357655504,3.652958168410411
44.28361880000001,37700000.0,-0.30750291551241354,4.491329109929423
45.2226968,33843200.0,-0.3075027959770588,4.000396560964067
46.275447799999995,30835600.0,-0.30750266197225384,3.6175587850181516
46.76664759999999,32306700.0,-0.3075025994473705,3.8048152859471434
48.006063,22300800.0,-0.30750244168203106,2.531163037530721
