Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-25,213.13652038574216,216.05619874719068,210.21684202429364,213.1365203857422,7783,0.0,0.0
1992-06-26,213.13652102152506,213.13652102152506,210.2168426513672,210.2168426513672,5529,0.0,0.0
1992-06-29,210.21684202429364,213.13652038574216,210.21684202429364,213.1365203857422,1292,0.0,0.0
1992-06-30,213.13652102152506,213.13652102152506,210.2168426513672,210.2168426513672,2154,0.0,0.0
1992-07-01,210.21684202429364,213.13652038574216,210.21684202429364,213.1365203857422,1475,0.0,0.0
1992-07-02,216.05619874719068,216.05619874719068,213.13652038574216,213.1365203857422,104,0.0,0.0
1992-07-06,213.13652038574216,216.05619874719068,210.21684202429364,213.1365203857422,3996,0.0,0.0
1992-07-07,213.13651976714263,216.0561981201172,210.21684141416807,216.0561981201172,1325,0.0,0.0
1992-07-08,210.2168426513672,213.13652102152506,204.37748591105142,210.2168426513672,3896,0.0,0.0
1992-07-09,210.2168426513672,210.2168426513672,204.37748591105142,210.2168426513672,229,0.0,0.0
1992-07-10,213.13652167521732,213.13652167521732,207.2971649169922,207.2971649169922,279,0.0,0.0
1992-07-13,213.1365223475865,213.1365223475865,204.3774871826172,204.3774871826172,63,0.0,0.0
1992-07-14,204.3774853013966,213.13652038574216,204.3774853013966,213.1365203857422,542,0.0,0.0
1992-07-15,210.2168426513672,210.2168426513672,210.2168426513672,210.2168426513672,417,0.0,0.0
1992-07-16,210.2168426513672,210.2168426513672,210.2168426513672,210.2168426513672,0,0.0,0.0
1992-07-17,207.29716428120932,210.2168426513672,207.29716428120932,210.2168426513672,729,0.0,0.0
1992-07-20,207.2971649169922,207.2971649169922,207.2971649169922,207.2971649169922,325,0.0,0.0
1992-07-21,207.29716366284512,213.13652038574216,207.29716366284512,213.1365203857422,33,0.0,0.0
1992-07-22,207.2971649169922,207.2971649169922,207.2971649169922,207.2971649169922,104,0.0,0.0
1992-07-23,207.29716306119352,216.0561981201172,207.29716306119352,216.0561981201172,2313,0.0,0.0
1992-07-24,216.0561981201172,216.0561981201172,216.0561981201172,216.0561981201172,8,0.0,0.0
1992-07-27,216.0561981201172,216.0561981201172,216.0561981201172,216.0561981201172,0,0.0,0.0
1992-07-28,207.2971649169922,207.2971649169922,207.2971649169922,207.2971649169922,8,0.0,0.0
1992-07-29,213.13652038574216,213.13652038574216,213.13652038574216,213.1365203857422,13,0.0,0.0
1992-07-30,207.2971649169922,213.13652167521732,207.2971649169922,207.2971649169922,529,0.0,0.0
1992-07-31,213.13652167521732,213.13652167521732,207.2971649169922,207.2971649169922,13,0.0,0.0
1992-08-03,213.13652102152506,213.13652102152506,207.29716428120932,210.2168426513672,296,0.0,0.0
1992-08-04,210.2168426513672,213.13652102152506,207.29716428120932,210.2168426513672,417,0.0,0.0
1992-08-05,207.2971649169922,210.21684329610474,207.2971649169922,207.2971649169922,329,0.0,0.0
1992-08-06,210.2168426513672,218.97587776184082,207.29716428120932,210.2168426513672,713,0.0,0.0
1992-08-07,210.2168426513672,210.2168426513672,210.2168426513672,210.2168426513672,121,0.0,0.0
1992-08-10,210.21684329610474,210.21684329610474,207.2971649169922,207.2971649169922,33,0.0,0.0
1992-08-11,216.05619939168295,216.05619939168295,210.2168426513672,210.2168426513672,88,0.0,0.0
1992-08-12,210.21684329610474,216.05620005432988,207.2971649169922,207.2971649169922,304,0.0,0.0
1992-08-13,210.21684082031248,218.9758758544922,207.29716247558594,218.9758758544922,296,0.0,0.0
1992-08-14,207.29716247558594,218.9758758544922,207.29716247558594,218.9758758544922,1008,0.0,0.0
1992-08-17,218.9758758544922,218.9758758544922,218.9758758544922,218.9758758544922,0,0.0,0.0
1992-08-18,210.21684141416807,216.0561981201172,210.21684141416807,216.0561981201172,258,0.0,0.0
1992-08-19,210.2168426513672,210.2168426513672,210.2168426513672,210.2168426513672,63,0.0,0.0
1992-08-20,216.0561981201172,216.0561981201172,216.0561981201172,216.0561981201172,21,0.0,0.0
1992-08-21,207.29716306119352,216.0561981201172,207.29716306119352,216.0561981201172,292,0.0,0.0
1992-08-24,207.2971649169922,207.2971649169922,207.2971649169922,207.2971649169922,42,0.0,0.0
1992-08-25,207.2971649169922,207.2971649169922,207.2971649169922,207.2971649169922,33,0.0,0.0
1992-08-26,207.2971649169922,207.2971649169922,207.2971649169922,207.2971649169922,0,0.0,0.0
1992-08-27,213.13651976714263,216.0561981201172,213.13651976714263,216.0561981201172,46,0.0,0.0
1992-08-28,210.21684141416807,216.0561981201172,210.21684141416807,216.0561981201172,108,0.0,0.0
1992-08-31,216.05620005432988,216.05620005432988,207.2971649169922,207.2971649169922,121,0.0,0.0
1992-09-01,216.05620005432988,216.05620005432988,207.2971649169922,207.2971649169922,104,0.0,0.0
1992-09-02,213.13651976714263,216.0561981201172,213.13651976714263,216.0561981201172,83,0.0,0.0
1992-09-03,216.0561981201172,216.0561981201172,216.0561981201172,216.0561981201172,0,0.0,0.0
1992-09-04,210.21684202429364,213.13652038574216,210.21684202429364,213.1365203857422,42,0.0,0.0
1992-09-08,207.29716306119352,216.0561981201172,207.29716306119352,216.0561981201172,279,0.0,0.0
1992-09-09,216.0561981201172,216.0561981201172,207.29716306119352,216.0561981201172,238,0.0,0.0
1992-09-10,207.2971649169922,216.05620005432988,207.2971649169922,207.2971649169922,188,0.0,0.0
1992-09-11,207.2971649169922,216.05620005432988,207.2971649169922,207.2971649169922,133,0.0,0.0
1992-09-14,210.21684202429364,216.05619874719068,207.29716366284512,213.1365203857422,571,0.0,0.0
1992-09-15,207.29716428120932,210.2168426513672,204.37748591105142,210.2168426513672,292,0.0,0.0
1992-09-16,201.45780815876705,207.2971649169922,201.45780815876705,207.2971649169922,379,0.0,0.0
1992-09-17,204.3774871826172,204.3774871826172,204.3774871826172,204.3774871826172,79,0.0,0.0
1992-09-18,204.3774871826172,204.3774871826172,204.3774871826172,204.3774871826172,71,0.0,0.0
1992-09-21,204.3774865378796,210.21684329610474,204.3774865378796,207.2971649169922,425,0.0,0.0
1992-09-22,210.2168426513672,210.2168426513672,201.45780754089355,210.2168426513672,2154,0.0,0.0
1992-09-23,204.37748784604278,210.216844641644,201.4578094482422,201.4578094482422,996,0.0,0.0
1992-09-24,204.37748784604278,204.37748784604278,201.4578094482422,201.4578094482422,258,0.0,0.0
1992-09-25,207.2971655709403,210.2168439592634,204.3774871826172,204.3774871826172,263,0.0,0.0
1992-09-28,204.3774871826172,204.3774871826172,204.3774871826172,204.3774871826172,0,0.0,0.0
1992-09-29,201.45780815876705,207.2971649169922,201.45780815876705,207.2971649169922,567,0.0,0.0
1992-09-30,201.4578094482422,201.4578094482422,201.4578094482422,201.4578094482422,63,0.0,0.0
1992-10-01,201.4578094482422,201.4578094482422,201.4578094482422,201.4578094482422,63,0.0,0.0
1992-10-02,204.37748852898093,204.37748852898093,198.5381317138672,198.5381317138672,542,0.0,0.0
1992-10-05,189.77909649119658,198.5381317138672,186.8594180836397,198.5381317138672,708,0.0,0.0
1992-10-06,195.61845397949222,195.61845397949222,195.61845397949222,195.6184539794922,42,0.0,0.0
1992-10-07,198.5381317138672,198.5381317138672,198.5381317138672,198.5381317138672,83,0.0,0.0
1992-10-08,198.5381317138672,198.5381317138672,198.5381317138672,198.5381317138672,0,0.0,0.0
1992-10-09,192.698776949369,192.698776949369,189.77909851074222,189.7790985107422,83,0.0,0.0
1992-10-12,189.77909851074222,189.77909851074222,189.77909851074222,189.7790985107422,208,0.0,0.0
1992-10-13,201.4578094482422,201.4578094482422,201.4578094482422,201.4578094482422,4,0.0,0.0
1992-10-14,192.6987762451172,192.6987762451172,192.6987762451172,192.6987762451172,83,0.0,0.0
1992-10-15,195.61845688592823,195.61845688592823,183.9397430419922,183.9397430419922,1083,0.0,0.0
1992-10-16,183.93974232673645,186.85942077636716,183.93974232673645,186.8594207763672,208,0.0,0.0
1992-10-19,186.85942077636716,186.85942077636716,186.85942077636716,186.8594207763672,0,0.0,0.0
1992-10-20,186.85942077636716,186.85942077636716,186.85942077636716,186.8594207763672,0,0.0,0.0
1992-10-21,189.7790999639602,189.7790999639602,183.9397430419922,183.9397430419922,304,0.0,0.0
1992-10-22,186.85942077636716,186.85942077636716,183.93974232673645,186.8594207763672,267,0.0,0.0
1992-10-23,186.8594200721154,192.698776949369,183.9397416334886,189.7790985107422,658,0.0,0.0
1992-10-26,186.8594200721154,192.698776949369,186.8594200721154,189.7790985107422,617,0.0,0.0
1992-10-27,186.8594180836397,204.37748852898093,186.8594180836397,198.5381317138672,1121,0.0,0.0
1992-10-28,207.2971655709403,210.2168439592634,201.4578087942941,204.3774871826172,688,0.0,0.0
1992-10-29,210.2168426513672,216.05619939168295,207.29716428120932,210.2168426513672,1021,0.0,0.0
1992-10-30,213.13652102152506,216.05619939168295,207.29716428120932,210.2168426513672,688,0.0,0.0
1992-11-02,213.13652038574216,213.13652038574216,213.13652038574216,213.1365203857422,375,0.0,0.0
1992-11-03,213.13651916503906,218.9758758544922,210.21684082031248,218.9758758544922,1242,0.0,0.0
1992-11-04,216.0561981201172,218.97587647309174,216.0561981201172,216.0561981201172,375,0.0,0.0
1992-11-05,218.9758752521716,221.89555358886722,213.13651857878034,221.8955535888672,1308,0.0,0.0
1992-11-06,218.9758758544922,221.89555419921874,216.0561975097656,218.9758758544922,358,0.0,0.0
1992-11-09,218.9758752521716,233.5742669356497,218.9758752521716,221.8955535888672,3800,0.0,0.0
1992-11-10,227.73490736219617,236.49394226074216,221.8955507631655,236.4939422607422,4346,0.0,0.0
1992-11-11,236.49394226074216,236.49394226074216,233.57426396122682,236.4939422607422,96,0.0,0.0
1992-11-12,236.49395533970426,245.25299072265628,227.73491995675224,245.25299072265625,792,0.0,0.0
1992-11-13,245.25299145801958,251.09234839749624,236.4939560488046,242.33331298828125,783,0.0,0.0
1992-11-16,245.25299221131857,245.25299221131857,239.41363525390622,239.41363525390625,163,0.0,0.0
1992-11-17,233.5742645263672,233.5742645263672,227.73490791320802,233.5742645263672,396,0.0,0.0
1992-11-18,233.5742645263672,233.5742645263672,230.6545862197876,233.5742645263672,250,0.0,0.0
1992-11-19,233.5742645263672,233.5742645263672,227.73490791320802,233.5742645263672,1563,0.0,0.0
1992-11-20,239.41363380068825,245.25299072265628,233.57427687872024,245.25299072265625,829,0.0,0.0
1992-11-23,239.41363241506178,251.09234619140628,239.41363241506178,251.09234619140625,504,0.0,0.0
1992-11-24,245.25298930323402,251.09234619140628,239.41363241506178,251.09234619140625,2279,0.0,0.0
1992-11-25,256.9317038143382,256.9317038143382,248.17266845703122,248.17266845703125,238,0.0,0.0
1992-11-27,256.93170166015625,256.93170166015625,256.93170166015625,256.93170166015625,29,0.0,0.0
1992-11-30,256.93170166015625,256.93170166015625,254.01202323219994,256.93170166015625,283,0.0,0.0
1992-12-01,262.77105712890625,262.77105712890625,262.77105712890625,262.77105712890625,83,0.0,0.0
1992-12-02,262.77105712890625,262.77105712890625,251.09234347873263,262.77105712890625,304,0.0,0.0
