Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-23,52.900001525878906,53.650001525878906,46.0,48.45000076293945,9841200,0,0
2021-09-24,47.04999923706055,48.099998474121094,42.0099983215332,44.08000183105469,2397300,0,0
2021-09-27,42.290000915527344,42.810001373291016,40.29999923706055,41.0,1748000,0,0
2021-09-28,40.29999923706055,40.38999938964844,37.494998931884766,38.099998474121094,1763900,0,0
2021-09-29,37.709999084472656,39.220001220703125,36.529998779296875,37.0,1379400,0,0
2021-09-30,37.0,37.470001220703125,35.54999923706055,36.70000076293945,735700,0,0
2021-10-01,37.540000915527344,38.040000915527344,37.0,37.66999816894531,831500,0,0
2021-10-04,37.63999938964844,39.15999984741211,37.5,38.290000915527344,593500,0,0
2021-10-05,38.189998626708984,39.95000076293945,37.70000076293945,39.560001373291016,381300,0,0
2021-10-06,38.91999816894531,39.97999954223633,38.90999984741211,39.47999954223633,157100,0,0
2021-10-07,39.720001220703125,41.0,39.0,39.209999084472656,292600,0,0
2021-10-08,39.0,39.7400016784668,39.0,39.0,140900,0,0
2021-10-11,38.689998626708984,38.9900016784668,36.970001220703125,37.400001525878906,466200,0,0
2021-10-12,37.5,37.79999923706055,35.619998931884766,36.18000030517578,542400,0,0
2021-10-13,36.290000915527344,39.41899871826172,36.290000915527344,38.72999954223633,252900,0,0
2021-10-14,38.40999984741211,39.06999969482422,37.57699966430664,38.29999923706055,372000,0,0
2021-10-15,38.72999954223633,41.400001525878906,38.529998779296875,40.20000076293945,505700,0,0
2021-10-18,40.54999923706055,41.26499938964844,39.215999603271484,40.459999084472656,560200,0,0
2021-10-19,39.54999923706055,41.040000915527344,32.5099983215332,33.90999984741211,4189700,0,0
2021-10-20,34.209999084472656,35.77000045776367,33.77000045776367,34.45000076293945,1071700,0,0
2021-10-21,34.25,35.779998779296875,34.25,35.5,706200,0,0
2021-10-22,35.150001525878906,36.0,33.7400016784668,34.119998931884766,633400,0,0
2021-10-25,34.08000183105469,34.470001220703125,32.33000183105469,32.689998626708984,796800,0,0
2021-10-26,32.70000076293945,33.56999969482422,30.559999465942383,31.760000228881836,1129500,0,0
2021-10-27,31.540000915527344,32.58000183105469,31.0,31.459999084472656,503800,0,0
2021-10-28,32.619998931884766,33.540000915527344,31.709999084472656,31.989999771118164,638600,0,0
2021-10-29,31.75,32.209999084472656,30.40999984741211,30.6200008392334,433100,0,0
