avg_prices_true,volume_true,avg_prices_norm,volume_norm
4.307375800000001,540764000.0,2.7177946587113873,0.4884544717227053
4.3027518,480690000.0,2.7149297571823796,0.328772628797769
4.307875600000001,455856800.0,2.718111898441495,0.26276385392472024
4.343694999999999,458110800.0,2.7459677864519674,0.26875517918944053
4.371498,498489600.0,2.7674804705308143,0.3760854917888582
4.400288000000001,397516000.0,2.7901920811007086,0.10768900520955021
4.5259822,609358400.0,2.888120991801622,0.6707842684122923
4.588478,398255200.0,2.9358685496601233,0.10965386219077525
4.595119,473538800.0,2.940548798272119,0.3097641260324328
4.517807400000001,531776000.0,2.8797073095795582,0.46456359706462813
4.4760333999999995,467964000.0,2.8483475709227988,0.29494582963236066
4.473363600000001,404658800.0,2.8467444317626103,0.12667518005464518
4.3840646,609481600.0,2.7754468587030248,0.6711117445758298
4.204971800000001,595971600.0,2.63723326885181,0.6352010061879101
4.2251916,447826400.0,2.655123199564421,0.24141836217413915
4.2577268,367567200.0,2.6792737758051133,0.028082526909614592
4.3385267999999995,458841600.0,2.7430034062528947,0.2706977082504244
4.4196476,372422400.0,2.8047747176661217,0.0409880648090245
4.4006002,388584000.0,2.789228687728049,0.08394698335308101
4.3258786,407946000.0,2.731761325414097,0.1354128395090323
4.2690036,297998400.0,2.6878571396473268,-0.15683730852795089
4.451499,636927200.0,2.8309755579589386,0.7440645026438897
4.606849599999999,646422000.0,2.9497284762578686,0.7693024951565189
4.6565236,487552800.0,2.9886615291198533,0.34701453963482415
4.6968474,456534400.0,3.0196654470496593,0.2645649728241765
4.7961302,452499600.0,3.0968213553343884,0.2538401284683232
4.842417,456223600.0,3.1318357343670504,0.26373883977525236
4.8725144,565199600.0,3.1556486811202165,0.5534063917043375
4.9393394,550634000.0,3.207812479531165,0.5146897780061077
5.027186200000001,632716000.0,3.2746610269529532,0.7328707719629713
4.9631568,931652400.0,3.2257183647673955,1.5274693548664893
4.9584410000000005,676964400.0,3.2214100041252136,0.8504868131534988
4.8828646,688623600.0,3.1627072362907485,0.8814779664482756
4.855524,524823600.0,3.1420337779914496,0.4460835217450002
4.7751766,563085600.0,3.079353114559904,0.5477871984436371
4.7197792,539750400.0,3.0371291817151183,0.48576023601360124
4.7475168,514805200.0,3.0581634716149084,0.4194537555373366
4.718866,571412800.0,3.0359745194549985,0.5699216100427403
4.7303484000000005,427680400.0,3.0448947689274637,0.18786856679567648
4.812213,721856800.0,3.109137918416266,0.9698146615625179
4.8134158,634914000.0,3.108207883578104,0.7387132444260837
4.6807365999999995,706532400.0,3.0060062469105007,0.9290810924025004
4.7211482,485525600.0,3.038205605093836,0.34162606821661606
4.7936148,589447600.0,3.09521728374299,0.617859654800583
4.9130808,439384400.0,3.1871201668793825,0.21897880233173958
4.9486982,567616000.0,3.2136781835670605,0.5598293900937208
4.9493054,434224000.0,3.2145236136020983,0.2052620166635663
4.972472600000001,414178800.0,3.23223530099978,0.15198015632799794
4.886524400000001,370479200.0,3.165400463616747,0.035822872593228375
4.7968772,498688400.0,3.0969307038632117,0.37661391923456644
